timestamp,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
27.961658,0.198180,0.914313,0.353208,-0.463485,-0.759273,-0.084687,0.645238,-0.287956,0.619862,-0.396055,0.677430,-0.206598,0.000000,0.000000,0.000000,1.000000
27.978332,0.197834,0.911939,0.359484,-0.464430,-0.764187,-0.086193,0.639210,-0.285725,0.613905,-0.401170,0.679840,-0.206334,0.000000,0.000000,0.000000,1.000000
27.995005,0.197694,0.909569,0.365515,-0.465203,-0.769143,-0.087239,0.633094,-0.283365,0.607730,-0.406292,0.682343,-0.206156,0.000000,0.000000,0.000000,1.000000
28.011679,0.197648,0.907148,0.371508,-0.465931,-0.774133,-0.088057,0.626868,-0.280918,0.601376,-0.411496,0.684849,-0.205972,0.000000,0.000000,0.000000,1.000000
28.028352,0.197681,0.904432,0.378055,-0.466651,-0.779049,-0.089134,0.620595,-0.278436,0.594983,-0.417203,0.686976,-0.205785,0.000000,0.000000,0.000000,1.000000
28.045026,0.197848,0.901287,0.385406,-0.467389,-0.784069,-0.090460,0.614046,-0.275932,0.588295,-0.423673,0.688775,-0.205582,0.000000,0.000000,0.000000,1.000000
28.061699,0.198029,0.897797,0.393377,-0.468131,-0.789181,-0.091992,0.607232,-0.273415,0.581358,-0.430695,0.690308,-0.205345,0.000000,0.000000,0.000000,1.000000
28.078373,0.198002,0.894229,0.401435,-0.468748,-0.794301,-0.093596,0.600271,-0.270909,0.574353,-0.437715,0.691755,-0.205115,0.000000,0.000000,0.000000,1.000000
28.095046,0.197756,0.890866,0.408963,-0.469384,-0.799186,-0.095058,0.593519,-0.268388,0.567621,-0.444210,0.693170,-0.204777,0.000000,0.000000,0.000000,1.000000
28.111720,0.197327,0.887702,0.415990,-0.470001,-0.803790,-0.096425,0.587047,-0.265879,0.561235,-0.450208,0.694499,-0.204384,0.000000,0.000000,0.000000,1.000000
28.128394,0.196943,0.884406,0.423130,-0.470625,-0.808141,-0.097912,0.580793,-0.263402,0.555086,-0.456332,0.695442,-0.203968,0.000000,0.000000,0.000000,1.000000
28.145067,0.197012,0.880945,0.430259,-0.471301,-0.812340,-0.099025,0.574715,-0.260934,0.548899,-0.462742,0.696118,-0.203504,0.000000,0.000000,0.000000,1.000000
