timestamp,m00,m01,m02,m10,m11,m12,m20,m21,m22
4.685305,1329.223877,0.000000,966.218506,0.000000,1329.223877,719.469238,0.000000,0.000000,1.000000
4.701979,1329.212036,0.000000,966.224976,0.000000,1329.212036,719.458740,0.000000,0.000000,1.000000
4.718652,1329.197144,0.000000,966.236816,0.000000,1329.197144,719.483643,0.000000,0.000000,1.000000
4.735326,1329.200073,0.000000,966.182007,0.000000,1329.200073,719.487244,0.000000,0.000000,1.000000
4.752000,1329.215088,0.000000,966.243774,0.000000,1329.215088,719.441650,0.000000,0.000000,1.000000
4.768674,1329.206055,0.000000,966.212158,0.000000,1329.206055,719.441040,0.000000,0.000000,1.000000
4.785347,1329.188354,0.000000,966.202209,0.000000,1329.188354,719.469055,0.000000,0.000000,1.000000
4.802021,1329.197144,0.000000,966.243530,0.000000,1329.197144,719.474243,0.000000,0.000000,1.000000
4.818695,1329.232788,0.000000,966.254272,0.000000,1329.232788,719.402649,0.000000,0.000000,1.000000
4.835368,1329.247681,0.000000,966.209717,0.000000,1329.247681,719.401733,0.000000,0.000000,1.000000
4.852042,1329.208984,0.000000,966.237671,0.000000,1329.208984,719.412292,0.000000,0.000000,1.000000
4.868716,1329.191162,0.000000,966.257874,0.000000,1329.191162,719.442322,0.000000,0.000000,1.000000
4.885389,1329.203003,0.000000,966.245239,0.000000,1329.203003,719.416809,0.000000,0.000000,1.000000
4.902063,1329.229858,0.000000,966.240051,0.000000,1329.229858,719.396606,0.000000,0.000000,1.000000
4.918737,1329.244751,0.000000,966.207764,0.000000,1329.244751,719.397034,0.000000,0.000000,1.000000
4.935410,1329.194092,0.000000,966.264160,0.000000,1329.194092,719.429871,0.000000,0.000000,1.000000
4.952084,1329.208984,0.000000,966.189453,0.000000,1329.208984,719.444397,0.000000,0.000000,1.000000
4.968758,1329.223877,0.000000,966.175476,0.000000,1329.223877,719.423889,0.000000,0.000000,1.000000
4.985431,1329.220947,0.000000,966.199890,0.000000,1329.220947,719.351318,0.000000,0.000000,1.000000
5.002105,1329.212036,0.000000,966.187317,0.000000,1329.212036,719.442078,0.000000,0.000000,1.000000
5.018779,1329.223877,0.000000,966.174438,0.000000,1329.223877,719.421875,0.000000,0.000000,1.000000
5.035452,1329.212036,0.000000,966.191589,0.000000,1329.212036,719.446472,0.000000,0.000000,1.000000
5.052126,1329.215088,0.000000,966.171143,0.000000,1329.215088,719.414185,0.000000,0.000000,1.000000
5.068800,1329.226929,0.000000,966.169250,0.000000,1329.226929,719.400574,0.000000,0.000000,1.000000
5.085473,1329.223877,0.000000,966.166931,0.000000,1329.223877,719.430298,0.000000,0.000000,1.000000
5.102147,1329.206055,0.000000,966.178772,0.000000,1329.206055,719.412537,0.000000,0.000000,1.000000
5.118821,1329.208984,0.000000,966.176453,0.000000,1329.208984,719.423401,0.000000,0.000000,1.000000
5.135494,1329.238892,0.000000,966.172302,0.000000,1329.238892,719.399780,0.000000,0.000000,1.000000
5.152168,1329.229858,0.000000,966.172668,0.000000,1329.229858,719.392273,0.000000,0.000000,1.000000
5.168842,1329.215088,0.000000,966.196045,0.000000,1329.215088,719.438049,0.000000,0.000000,1.000000
